id,traceId,type,name,environment,startTime,endTime,latency,model,inputTokens,outputTokens,totalTokens,totalCost,inputPreview,outputPreview
demo-obs-0001-1,demo-trace-0001,GENERATION,LLM call 1,workspace,2026-06-10T08:00:00.000Z,2026-06-10T08:00:03.584Z,3.584,demo-vendor/demo-chat-small:free,400,50,585,0.0,"You are DemoAgent, a demonstration assistant running on the data-flywheel demo stack. All conversations you see are synt...",俳句是一种诗。这个问题与俳句无关，我来聊聊演示环境的服务器配置吧。...
demo-obs-0002-1,demo-trace-0002,GENERATION,demo-completion,default,2026-06-11T08:37:13.007Z,2026-06-11T08:37:14.290Z,1.283,demo-vendor/demo-chat-pro:free,537,121,855,0.0,"You are DemoAgent, a demonstration assistant running on the data-flywheel demo stack. All conversations you see are synt...",总结就是挺好的。另外提醒你今天天气不错，适合出门。...
demo-obs-0002-2,demo-trace-0002,GENERATION,demo-completion,default,2026-06-11T08:37:13.007Z,2026-06-11T08:37:14.290Z,1.283,demo-vendor/demo-chat-pro:free,537,121,855,0.0,"You are DemoAgent, a demonstration assistant running on the data-flywheel demo stack. All conversations you see are synt...",总结就是挺好的。另外提醒你今天天气不错，适合出门。...
demo-obs-0003-1,demo-trace-0003,GENERATION,demo-completion,default,2026-06-12T09:14:26.014Z,2026-06-12T09:14:27.439Z,1.425,demo-vendor/demo-reasoner:free,674,192,1125,0.0,"You are DemoAgent, a demonstration assistant running on the data-flywheel demo stack. All conversations you see are synt...",测试很重要，建议多写测试。具体怎么写我这里就不展开了。...
demo-obs-0004-1,demo-trace-0004,GENERATION,demo-completion,workspace,2026-06-13T09:51:39.021Z,2026-06-13T09:51:47.949Z,8.928,demo-vendor/demo-chat-small:free,811,263,1396,0.0,"You are DemoAgent, a demonstration assistant running on the data-flywheel demo stack. All conversations you see are synt...",Data Flywheel Demo。「数据飞轮」译作 Data Flywheel，「演示」译作 Demo，均为通用译法。...
demo-obs-0004-2,demo-trace-0004,GENERATION,demo-completion,workspace,2026-06-13T09:51:39.021Z,2026-06-13T09:51:47.949Z,8.928,demo-vendor/demo-chat-small:free,811,263,1396,0.0,"You are DemoAgent, a demonstration assistant running on the data-flywheel demo stack. All conversations you see are synt...",Data Flywheel Demo。「数据飞轮」译作 Data Flywheel，「演示」译作 Demo，均为通用译法。...
demo-obs-0005-1,demo-trace-0005,GENERATION,demo-completion,default,2026-06-14T10:28:52.028Z,2026-06-14T10:28:58.881Z,6.853,demo-vendor/demo-chat-pro:free,948,334,1666,0.0,"You are DemoAgent, a demonstration assistant running on the data-flywheel demo stack. All conversations you see are synt...",正则表达式功能强大，可以匹配很多内容，你说的这个应该也能匹配。...
demo-obs-0006-1,demo-trace-0006,GENERATION,LLM call 1,default,2026-06-15T11:05:05.035Z,2026-06-15T11:05:06.736Z,1.701,demo-vendor/demo-reasoner:free,1085,405,1937,0.0,"You are DemoAgent, a demonstration assistant running on the data-flywheel demo stack. All conversations you see are synt...",SQL 数据库一般都支持查询功能，你可以查阅对应数据库的官方文档。...
demo-obs-0006-2,demo-trace-0006,GENERATION,LLM call 1,default,2026-06-15T11:05:05.035Z,2026-06-15T11:05:06.736Z,1.701,demo-vendor/demo-reasoner:free,1085,405,1937,0.0,"You are DemoAgent, a demonstration assistant running on the data-flywheel demo stack. All conversations you see are synt...",SQL 数据库一般都支持查询功能，你可以查阅对应数据库的官方文档。...
demo-obs-0007-1,demo-trace-0007,GENERATION,demo-completion,workspace,2026-06-16T11:42:18.042Z,2026-06-16T11:42:25.988Z,7.946,demo-vendor/demo-chat-small:free,1222,476,2207,0.0,"You are DemoAgent, a demonstration assistant running on the data-flywheel demo stack. All conversations you see are synt...",周报邮件一般包括本周工作和下周计划。我建议你自己写一写，锻炼表达能力。...
demo-obs-0008-1,demo-trace-0008,GENERATION,demo-completion,default,2026-06-17T12:19:31.049Z,2026-06-17T12:19:39.703Z,8.654,demo-vendor/demo-chat-pro:free,1359,547,2477,0.0,"You are DemoAgent, a demonstration assistant running on the data-flywheel demo stack. All conversations you see are synt...","排序后是 [1, 2, 3]。步骤略。..."
demo-obs-0008-2,demo-trace-0008,GENERATION,demo-completion,default,2026-06-17T12:19:31.049Z,2026-06-17T12:19:39.703Z,8.654,demo-vendor/demo-chat-pro:free,1359,547,2477,0.0,"You are DemoAgent, a demonstration assistant running on the data-flywheel demo stack. All conversations you see are synt...","排序后是 [1, 2, 3]。步骤略。..."
